Date,Price,Open,High,Low,Vol
19/02/2022,399.43,398.89,406.34,392.57,312916650.5
20/02/2022,380.31,399.49,399.77,374.61,470299411.8
21/02/2022,356.35,380.31,393.41,354.64,776896993.4
22/02/2022,373.94,356.34,375.35,347.87,588030967
23/02/2022,365.41,373.99,384.21,365.02,445382538.2
24/02/2022,360.8,365.41,370.77,323.02,1069943747
25/02/2022,374.67,360.81,377.18,356.41,460204421.1
26/02/2022,373.44,374.7,392.79,370.05,342691638.7
27/02/2022,359.98,373.46,381.17,357.87,419421651.6
28/02/2022,395.5,359.97,397.37,355.52,555718426.1
1/3/22,408.56,395.47,429.36,390.97,947724585.8
2/3/22,408.95,408.61,415.46,403.41,472652549.4
3/3/22,402.25,408.95,412.76,397.11,389953761.3
4/3/22,374.05,402.24,403.27,371.5,465715350.5
5/3/22,384.38,374.05,387.22,366.62,326382281.5
6/3/22,374.64,384.41,387,372.16,308621930.4
7/3/22,380.13,374.68,385.62,362.36,602333649.3
8/3/22,380.99,380.12,388.8,376.59,512811342.9
9/3/22,392.96,381.02,402.45,380.71,630177574.4
10/3/22,371.77,392.96,394.36,362.76,461084617.8
11/3/22,371.8,371.75,379.81,364.44,343069533.4
12/3/22,372.13,371.79,379.13,370.65,211422116.7
13/03/2022,361.06,372.13,376.99,359.53,264958763
14/03/2022,373.27,361.06,374,359.05,297648061.5
15/03/2022,371.51,373.28,374.71,361.35,272872896.3
16/03/2022,385.25,371.51,386.6,367.6,410184307.3
17/03/2022,391.74,385.24,393.64,381.58,312716491.1
18/03/2022,396.9,391.75,400.3,383.71,330003977.8
19/03/2022,399.71,396.91,406.39,394.67,291229787.3
20/03/2022,390.74,399.7,400.87,386.22,242281673.5
21/03/2022,395.81,390.74,399.16,385.14,281388117.9
22/03/2022,404.05,395.82,410,394.78,373067635
23/03/2022,408.36,404.04,411.87,397.74,318555006.5
24/03/2022,414.08,408.35,416.55,404.88,370877141.1
25/03/2022,410.15,414.09,421.62,405.31,371994899.6
26/03/2022,415.64,410.16,416.29,407.23,192646083.7
27/03/2022,430.49,415.64,431.72,411.4,311504434.5
28/03/2022,430.43,430.48,441.13,427.55,454889994
29/03/2022,434.28,430.41,442,429.49,375023686
30/03/2022,442.17,434.27,449.75,425.5,463276974.6
31/03/2022,428.75,442.17,452.7,423.82,539838601.2
1/4/22,447.66,428.71,448.24,413.01,481954207.2
2/4/22,437.3,447.66,454.37,435.51,364019364.4
3/4/22,450.52,437.29,455.9,432.01,327314409.2
4/4/22,447.51,450.48,450.67,433.39,379638980.8
5/4/22,444.58,447.51,460,444.01,424394909.9
6/4/22,419.93,444.59,444.67,418.04,545824552
7/4/22,435.78,419.87,438.43,416.01,470976013.3
8/4/22,421.27,435.75,441,418.1,385773197.8
